scenario_name,battery_no,cycle_idx,phase,soh_proxy,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,res_energy_ekf,res_energy_gpr,late_peak_ekf,late_t_ekf,late_peak_gpr,late_t_gpr,mid_valley_ekf,mid_t_ekf,mid_valley_gpr,mid_t_gpr,rmse_v
baseline,53,1,FIRST,1,1,0,1,1,0,0.0554343797490727,0.059840587851603,0.00440620810253033,0.00308614721274941,0.00354886636925217,0.0713800720255543,0.704545454545455,0.100140957508319,0.977272727272727,0.0212401611848056,0.159090909090909,-0.00875983881519438,0.159090909090909,0.109953721120864
baseline,53,2,MIDDLE,0.97,1,0,1,1,0,0.0377589724571809,0.0459644348826672,0.00820546242548635,0.00143297505191167,0.00209575437531787,0.0496950573624921,0.704545454545455,0.0753406991331604,0.909090909090909,0.0185049730978334,0.159090909090909,-0.0114950269021666,0.159090909090909,0.107123598302921
baseline,53,3,LAST,0.94,1,0,1,1,0,0.0279296553011085,0.0316472436646102,0.00371758836350176,0.00079344373128808,0.00100480259841634,0.0407057238572851,0.704545454545455,0.0520189917864446,0.931818181818182,0.0120034983627835,0.159090909090909,-0.0179965016372165,0.159090909090909,0.10832319652619
baseline,55,1,FIRST,1,1,0,1,1,0,0.0524783639820857,0.0547755247627944,0.00229716078070871,0.0027609186641549,0.00295659507357245,0.0669736834297884,0.954545454545455,0.0956371777455107,0.977272727272727,0.0188955230793216,0.159090909090909,-0.0111044769206784,0.159090909090909,0.111822500640004
baseline,55,2,MIDDLE,0.97,1,0,1,1,0,0.0311344140883719,0.0391975375654304,0.00806312347705851,0.00098146657451135,0.00153534941660324,0.0408157227677887,0.704545454545455,0.0620640070424239,0.863636363636364,0.0122766758119319,0.159090909090909,-0.0177233241880681,0.159090909090909,0.109806826469734
baseline,55,3,LAST,0.94,1,0,1,1,0,0.0184835114114795,0.0251829755011554,0.00669946408967593,0.000345481257778917,0.000631831641884824,0.0228218696308115,0.704545454545455,0.0388493555364762,0.863636363636364,0.0103094411339156,0.181818181818182,-0.0196905588660844,0.181818181818182,0.106286596895335
baseline,57,1,FIRST,1,1,0,1,1,0,0.0592833865332043,0.0623286138536251,0.00304522732042072,0.00352555414031972,0.00384247984176103,0.0760896418683473,0.977272727272727,0.106089641868347,0.977272727272727,0.0197420353756822,0.159090909090909,-0.0102579646243178,0.159090909090909,0.117717389228564
baseline,57,2,MIDDLE,0.97,1,0,1,1,0,0.0451526900824291,0.0482286134145914,0.00307592333216231,0.002054314816662,0.00230459639295709,0.0542983566835266,0.704545454545455,0.0826449135696561,0.954545454545455,0.0225148842589566,0.159090909090909,-0.00748511574104344,0.159090909090909,0.116824776598854
baseline,57,3,LAST,0.94,1,0,1,1,0,0.0225683449383284,0.0310430077190623,0.00847466278073385,0.000516898252727877,0.000968130244718413,0.0278149758902632,0.727272727272727,0.0488069503570462,0.840909090909091,0.00931144102678505,0.159090909090909,-0.0206885589732149,0.159090909090909,0.108782399094816
baseline,59,1,FIRST,1,1,0,1,1,0,0.0590926329524102,0.061074462445191,0.00198182949278079,0.00350016605629185,0.00368100047551346,0.0766070104670044,0.977272727272727,0.106461737558657,0.977272727272727,0.0206308347523033,0.159090909090909,-0.00936916524769671,0.159090909090909,0.113182162639464
