scenario_name,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,rmse_ekf_late,rmse_gpr_late,delta_gpr_vs_ekf_late,mean_abs_residual_pred,rmse_v,is_gpr_improved_vs_ekf,is_gpr_worse_vs_ekf,is_selected_cycle
baseline,7,3,0.94,1,0,1,1,0,0.0142030983633402,0.0316087628282554,0.0174056644649151,NaN,NaN,NaN,0.0203690939555413,0.109694996294788,0,1,1
baseline,11,1,1,1,0,1,1,0,0.0354986151822426,0.048003757455995,0.0125051422737524,NaN,NaN,NaN,0.0190583628263274,0.114292020586986,0,1,1
baseline,11,2,0.97,1,0,1,1,0,0.0208008217317452,0.0372682137254813,0.0164673919937361,NaN,NaN,NaN,0.0211239192902851,0.111758714390294,0,1,1
baseline,11,3,0.94,1,0,1,1,0,0.0121222334284074,0.0310161108133485,0.0188938773849411,NaN,NaN,NaN,0.0208634926894517,0.110774956066668,0,1,1
baseline,13,1,1,1,0,1,1,0,0.0450054581293862,0.0531609789082676,0.00815552077888133,NaN,NaN,NaN,0.0193720696150411,0.118791228941642,0,1,1
baseline,13,2,0.97,1,0,1,1,0,0.0257441580292292,0.0422707779836398,0.0165266199544107,NaN,NaN,NaN,0.0204903359694919,0.107587124483425,0,1,1
baseline,13,3,0.94,1,0,1,1,0,0.0158893828888797,0.034380903806764,0.0184915209178843,NaN,NaN,NaN,0.0197730900940449,0.116081871524354,0,1,1
baseline,17,1,1,1,0,1,1,0,0.035009032162116,0.0500535336466571,0.0150445014845411,NaN,NaN,NaN,0.0213205611746432,0.109469355831221,0,1,1
baseline,17,2,0.97,1,0,1,1,0,0.0253216259130462,0.0383324401568897,0.0130108142438436,NaN,NaN,NaN,0.0215865872428682,0.111324004172838,0,1,1
baseline,17,3,0.94,1,0,1,1,0,0.00982931677945338,0.0298886870890291,0.0200593703095757,NaN,NaN,NaN,0.021351815123104,0.10910513163872,0,1,1
baseline,20,1,1,1,0,1,1,0,0.0465066124756834,0.0531094212470402,0.00660280877135674,NaN,NaN,NaN,0.0185517358018822,0.11456712176924,0,1,1
baseline,20,2,0.97,1,0,1,1,0,0.0247599283858616,0.0420047300243088,0.0172448016384472,NaN,NaN,NaN,0.0207762369525818,0.108346334030628,0,1,1
baseline,20,3,0.94,1,0,1,1,0,0.0121002218846808,0.0337630603995501,0.0216628385148693,NaN,NaN,NaN,0.0227052758097792,0.107883882423268,0,1,1
baseline,22,1,1,1,0,1,1,0,0.0495176251696485,0.0582682983004331,0.00875067313078462,NaN,NaN,NaN,0.0205208315585183,0.120484813406341,0,1,1
baseline,22,2,0.97,1,0,1,1,0,0.0380873830747968,0.0462789518624434,0.00819156878764662,NaN,NaN,NaN,0.0196334707240542,0.111653426785923,0,1,1
baseline,22,3,0.94,1,0,1,1,0,0.0286553212724512,0.0353636184112327,0.00670829713878154,NaN,NaN,NaN,0.0217263231032403,0.112207840915809,0,1,1
baseline,24,1,1,1,0,1,1,0,0.0408928153170631,0.0541672833286251,0.0132744680115621,NaN,NaN,NaN,0.0207179439188757,0.112632908464927,0,1,1
baseline,24,2,0.97,1,0,1,1,0,0.0363814606954305,0.0439578310342898,0.00757637033885934,NaN,NaN,NaN,0.0193322432311667,0.11070641531523,0,1,1
baseline,24,3,0.94,1,0,1,1,0,0.0207642344645651,0.0325275814392435,0.0117633469746784,NaN,NaN,NaN,0.0208977062926735,0.118646407602267,0,1,1
baseline,26,1,1,1,0,1,1,0,0.0488105178797628,0.0559493545095015,0.00713883662973875,NaN,NaN,NaN,0.0216893660633315,0.101647172835441,0,1,1
baseline,26,2,0.97,1,0,1,1,0,0.0281218915771514,0.0437384478462493,0.0156165562690979,NaN,NaN,NaN,0.0209485898975728,0.114421062932622,0,1,1
